模块,截图文件,截图类型,前置状态,可见对象,硬件状态,截图合格,红框合格,文字合格,复核备注
3D图像显示,docs/manual-assets/real-workflow/screenshots/001-3D图像显示.png,能力限制,已打开三维取图配置；当前仅展示三维取图与显示配置,订阅三维图像结果｜选择显示窗口｜确认三维显示配置,未连接演示,是,是,是,真实窗体已初始化；仅说明三维取图与显示配置，不扩展为三维算法能力。
3D图像源,docs/manual-assets/real-workflow/screenshots/002-3D图像源.png,能力限制,已打开三维取图配置；当前仅展示三维取图与显示配置,选择三维相机｜设置取图模式、超时和点数｜确认三维取图配置,未连接演示,是,是,是,真实窗体已初始化；仅说明三维取图与显示配置，不扩展为三维算法能力。
AI检测,docs/manual-assets/real-workflow/screenshots/003-AI检测.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置AI检测关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
AI结果绘制,docs/manual-assets/real-workflow/screenshots/004-AI结果绘制.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置AI结果绘制关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
AI训练入口,docs/manual-assets/real-workflow/screenshots/005-AI训练入口.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择训练图像路径｜查看样本分类数量｜进入训练配置和执行区域,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
C#脚本,docs/manual-assets/real-workflow/screenshots/006-C#脚本.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择条件、变量或目标流程｜设置C#脚本参数｜保存或确认配置,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
Modbus写,docs/manual-assets/real-workflow/screenshots/007-Modbus写.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置Modbus写参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
Modbus读,docs/manual-assets/real-workflow/screenshots/008-Modbus读.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置Modbus读参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
Modbus软触发,docs/manual-assets/real-workflow/screenshots/009-Modbus软触发.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置Modbus软触发参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
Modbus通信,docs/manual-assets/real-workflow/screenshots/010-Modbus通信.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,设备列表与新增入口｜设置Modbus通信通信参数,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
PLC写,docs/manual-assets/real-workflow/screenshots/011-PLC写.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置PLC写参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
PLC读,docs/manual-assets/real-workflow/screenshots/012-PLC读.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置PLC读参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
PLC软触发,docs/manual-assets/real-workflow/screenshots/013-PLC软触发.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置PLC软触发参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
PLC通信,docs/manual-assets/real-workflow/screenshots/014-PLC通信.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,设备列表与新增入口｜设置PLC通信通信参数,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
ROI结果绘制,docs/manual-assets/real-workflow/screenshots/015-ROI结果绘制.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置ROI结果绘制关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
ROI结果绘制2,docs/manual-assets/real-workflow/screenshots/016-ROI结果绘制2.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置ROI结果绘制2关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
TCP响应,docs/manual-assets/real-workflow/screenshots/017-TCP响应.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置TCP响应参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
TCP请求,docs/manual-assets/real-workflow/screenshots/018-TCP请求.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置TCP请求参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
TCP通信,docs/manual-assets/real-workflow/screenshots/019-TCP通信.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,设备列表与新增入口｜设置TCP通信通信参数,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
三维相机,docs/manual-assets/real-workflow/screenshots/020-三维相机.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择三维相机｜设置图像模式和取图参数｜确认三维取图配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
串口发送,docs/manual-assets/real-workflow/screenshots/021-串口发送.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择通信设备或信号来源｜设置串口发送参数｜保存或确认配置,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
串口通信,docs/manual-assets/real-workflow/screenshots/022-串口通信.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,设备列表与新增入口｜设置串口通信通信参数,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
主界面与视图管理,docs/manual-assets/real-workflow/screenshots/023-主界面与视图管理.png,真实流程,已打开客户演示方案；已新建客户演示流程；演示流程包含节点和连接线,菜单和常用工具栏｜方案与流程标签页｜图像和运行监控区域,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
二值化分析,docs/manual-assets/real-workflow/screenshots/024-二值化分析.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置二值化分析关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
二维工业相机,docs/manual-assets/real-workflow/screenshots/025-二维工业相机.png,硬件配置,已打开真实设备或通信配置窗口；当前环境未连接真实设备,选择相机品牌和设备｜搜索在线相机｜填写相机自定义名称｜添加相机,未连接演示,是,是,是,真实配置窗体已初始化；配置演示，未连接真实设备。
二维码识别,docs/manual-assets/real-workflow/screenshots/026-二维码识别.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,选择输入图像或上游结果｜设置二维码识别关键参数｜查看 ROI 或运行效果｜执行并确认,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
位置修正,docs/manual-assets/real-workflow/screenshots/027-位置修正.png,真实参数,已打开客户演示方案；演示流程中已添加对应节点；对应节点具备合理上游或输入,启用位置修正｜设置 X、Y 和角度修正量｜保存修正参数,不依赖硬件,是,是,是,真实参数窗体已初始化；黑色或棋盘格预览区表示当前未输入图像，不代表检测成功。
